Id,Books,BookCheckout,BookReturned,DaysAllowedToBorrow,CustomerID,NaDataIssue,DateIssue,DaysOnLoan,DaysOnLoanIssue
2.0,Lord of the rings the two towers,2023-03-24,2023-03-21,2 weeks,2.0,False,False,-3.0,True
3.0,Lord of the rings the return of the kind,2023-03-29,2023-03-25,2 weeks,3.0,False,False,-4.0,True
4.0,The hobbit,2023-04-02,2023-03-25,2 weeks,4.0,False,False,-8.0,True
5.0,Dune ,2023-04-02,2023-03-25,2 weeks,5.0,False,False,-8.0,True
7.0,IT,2063-04-10,2023-04-03,2 weeks,6.0,False,False,-14617.0,True
8.0,Misery ,2023-04-15,2023-04-03,2 weeks,7.0,False,False,-12.0,True
17.0,The Bloody Chamber,,2023-06-04,2 weeks,3.0,False,True,,False
21.0,,2023-06-01,2023-06-05,2 weeks,,True,False,4.0,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
,,,,,,True,True,,False
